ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
4833,1,1,F070802060501_53 - Go To Location 1,1,1,4833,,,,,,,,,15.45436685,,19.66281349,,0.19441455
4834,1,1,F070802060501_54 - Go To Location 1,2,1,4834,,,,,,,,,17.53197423,,17.62547232,,0.168594554
4835,1,1,F070802060501_55 - Go To Location 1,2,1,4835,,,,,,,,,19.27707948,,25.7585184,,0.263523726
4836,1,1,F070802060501_57 - Go To Location 1,1,1,4836,,,,,,,,,23.78286701,,22.16666842,,0.210543772
4837,1,1,F070802060501_59 - Go To Location 1,1,1,4837,,,,,,,,,21.80588143,,20.50914694,,0.195004146
4838,1,1,F070802060501_66 - Go To Location 1,1,1,4838,,,,,,,,,21.07561605,,20.55295777,,0.194832971
4839,1,1,F070802060501_70 - Go To Location 1,1,1,4839,,,,,,,,,10.5805043,,13.05244565,,0.119108515
4840,1,1,F070802060501_73 - Go To Location 1,2,1,4840,,,,,,,,,13.03401217,,14.1255108,,0.132109748
4841,1,1,F070802060501_75 - Go To Location 1,1,1,4841,,,,,,,,,13.58188219,,15.07695972,,0.144893291
4842,1,1,F070802060501_80 - Go To Location 1,1,1,4842,,,,,,,,,13.5833968,,14.49390616,,0.13542662
4843,1,1,F070802060501_85 - Go To Location 1,1,1,4843,,,,,,,,,10.16407596,,11.98588802,,0.110120125
4844,1,1,F070802060501_87 - Go To Location 1,1,1,4844,,,,,,,,,8.145169682,,11.47252442,,0.105722158
4845,1,1,F070802060501_89 - Go To Location 1,2,1,4845,,,,,,,,,10.03275459,,11.81907584,,0.108019279
4846,1,1,F070802060501_92 - Go To Location 1,1,1,4846,,,,,,,,,12.53376183,,13.86463999,,0.130359932
4847,1,1,F070802060501_93 - Go To Location 1,2,1,4847,,,,,,,,,11.06687484,,12.80645853,,0.118780946
4848,1,1,F070802060501_94 - Go To Location 1,1,1,4848,,,,,,,,,11.47189686,,13.07804384,,0.121692523
4849,1,1,F070802060501_96 - Go To Location 1,2,1,4849,,,,,,,,,10.99803158,,12.76029606,,0.118286039
4850,1,1,F070802060501_97 - Go To Location 1,1,1,4850,,,,,,,,,10.61869477,,12.50593382,,0.115563036
4851,1,1,F070802060501_99 - Go To Location 1,1,1,4851,,,,,,,,,11.80253047,,13.2997484,,0.124047892
